real_name,pi_const1,pi_const2,pi_const3,pi_const4,pi_const5,pi_const6,pi_const7,pi_const8,pi_const9,pi_const10,pi_const11,pi_const12,pi_const13,pi_const14,pi_const15,pi_const16,pi_const17,pi_const18,pi_const19,pi_const20,pi_const21,pi_const22,pi_const23,pi_const24
gen=1_member=110_pso,81869.167792819527676,81869.167792819527676,89665.993973232383723,89665.993973232383723,84433.690075584308943,84433.690075584308943,93355.103387720300816,93355.103387720300816,81869.167792819527676,81869.167792819527676,89665.993973232383723,89665.993973232383723,84433.690075584308943,84433.690075584308943,93355.103387720300816,93355.103387720300816,81869.167792819527676,81869.167792819527676,352748.30411569523858,352748.30411569523858,649060.95473892835435,649060.95473892835435,547090.67734624282457,547090.67734624282457
gen=1_member=111_pso,26077.79236116832908,26077.79236116832908,73399.096526482753688,73399.096526482753688,57058.231062558414123,57058.231062558414123,76981.77392005774891,76981.77392005774891,26077.79236116832908,26077.79236116832908,73399.096526482753688,73399.096526482753688,57058.231062558414123,57058.231062558414123,76981.77392005774891,76981.77392005774891,541399.76250902819447,541399.76250902819447,165718.88557946082437,165718.88557946082437,293120.96582169819158,293120.96582169819158,413034.80409393151058,413034.80409393151058
gen=1_member=112_pso,68489.211353557009716,68489.211353557009716,94681.080872153528617,94681.080872153528617,61955.073622517622425,61955.073622517622425,71016.379864728020038,71016.379864728020038,68489.211353557009716,68489.211353557009716,94681.080872153528617,94681.080872153528617,61955.073622517622425,61955.073622517622425,71016.379864728020038,71016.379864728020038,68489.211353557009716,68489.211353557009716,133524.73096662550233,133524.73096662550233,989270.05929864675272,989270.05929864675272,226254.41469609172782,226254.41469609172782
gen=1_member=113_pso,9241.3336254723344609,9241.3336254723344609,68170.62294156414282,68170.62294156414282,55883.703211092783022,55883.703211092783022,19076.275048012288607,19076.275048012288607,9241.3336254723344609,9241.3336254723344609,68170.62294156414282,68170.62294156414282,55883.703211092783022,55883.703211092783022,19076.275048012288607,19076.275048012288607,961798.78102294553537,961798.78102294553537,720351.7133976748446,720351.7133976748446,388932.66157705028309,388932.66157705028309,33996.882027533778455,33996.882027533778455
gen=1_member=114_pso,64015.832651042263024,64015.832651042263024,76014.324405697218026,76014.324405697218026,67296.643385945018963,67296.643385945018963,76432.003698363478179,76432.003698363478179,64015.832651042263024,64015.832651042263024,76014.324405697218026,76014.324405697218026,67296.643385945018963,67296.643385945018963,76432.003698363478179,76432.003698363478179,168004.278741808841,168004.278741808841,113036.74317571985011,113036.74317571985011,496909.44891459390055,496909.44891459390055,316450.49702704179799,316450.49702704179799
gen=1_member=115_pso,29288.73098291001952,29288.73098291001952,44754.899215270808781,44754.899215270808781,18892.845720193545276,18892.845720193545276,42948.510967127425829,42948.510967127425829,29288.73098291001952,29288.73098291001952,44754.899215270808781,44754.899215270808781,18892.845720193545276,18892.845720193545276,42948.510967127425829,42948.510967127425829,161584.36822802788811,161584.36822802788811,44754.899215270808781,44754.899215270808781,320026.287935629196,320026.287935629196,529379.6625834585866,529379.6625834585866
gen=1_member=116_pso,45377.068545155460015,45377.068545155460015,50551.190629373159027,50551.190629373159027,50000,50000,82411.569955050494173,82411.569955050494173,45377.068545155460015,45377.068545155460015,50551.190629373159027,50551.190629373159027,50000,50000,82411.569955050494173,82411.569955050494173,609696.56899580894969,609696.56899580894969,173351.379275269137,173351.379275269137,318560.2220498098759,318560.2220498098759,82411.569955050494173,82411.569955050494173
gen=1_member=117_pso,64953.132474874772015,64953.132474874772015,76644.789831114481785,76644.789831114481785,81295.932058601261815,81295.932058601261815,100976.50798024481628,100976.50798024481628,64953.132474874772015,64953.132474874772015,76644.789831114481785,76644.789831114481785,81295.932058601261815,81295.932058601261815,100976.50798024481628,100976.50798024481628,440016.85996630752925,440016.85996630752925,507269.059858096065,507269.059858096065,607358.64549305930268,607358.64549305930268,343743.70439564873232,343743.70439564873232
gen=1_member=118_pso,79495.127990107474034,79495.127990107474034,84635.124907864243141,84635.124907864243141,84635.124907864243141,84635.124907864243141,92699.803082083788468,92699.803082083788468,79495.127990107474034,79495.127990107474034,84635.124907864243141,84635.124907864243141,84635.124907864243141,84635.124907864243141,92699.803082083788468,92699.803082083788468,79495.127990107474034,79495.127990107474034,684699.41301659750752,684699.41301659750752,656601.03929598373361,656601.03929598373361,92699.803082083788468,92699.803082083788468
gen=1_member=119_pso,40346.707451385766035,40346.707451385766035,17407.414722891408019,17407.414722891408019,59996.563005401520059,59996.563005401520059,86787.148049118899507,86787.148049118899507,40346.707451385766035,40346.707451385766035,17407.414722891408019,17407.414722891408019,59996.563005401520059,59996.563005401520059,86787.148049118899507,86787.148049118899507,40439.125670268986141,40439.125670268986141,152297.18226554791909,152297.18226554791909,629790.89139971020631,629790.89139971020631,286936.14883093733806,286936.14883093733806
gen=1_member=120_pso,39803.729547343806189,39803.729547343806189,60868.599077717546606,60868.599077717546606,53173.899456672479573,53173.899456672479573,67720.750582620006753,67720.750582620006753,39803.729547343806189,39803.729547343806189,60868.599077717546606,60868.599077717546606,53173.899456672479573,53173.899456672479573,67720.750582620006753,67720.750582620006753,62108.372704733868886,62108.372704733868886,464848.70408629684243,464848.70408629684243,421543.84273924242007,421543.84273924242007,383170.68754396273289,383170.68754396273289
gen=1_member=121_pso,53840.218546577758389,53840.218546577758389,67509.988364625634858,67509.988364625634858,46476.007951989246067,46476.007951989246067,45082.478188218970899,45082.478188218970899,53840.218546577758389,53840.218546577758389,67509.988364625634858,67509.988364625634858,46476.007951989246067,46476.007951989246067,45082.478188218970899,45082.478188218970899,311492.11447680252604,311492.11447680252604,431017.92319737235084,431017.92319737235084,892912.06900159874931,892912.06900159874931,94784.238424857569044,94784.238424857569044
gen=1_member=122_pso,49822.393671241770789,49822.393671241770789,79844.163485484401463,79844.163485484401463,94761.325682065187721,94761.325682065187721,104040.07262703792367,104040.07262703792367,49822.393671241770789,49822.393671241770789,79844.163485484401463,79844.163485484401463,94761.325682065187721,94761.325682065187721,104040.07262703792367,104040.07262703792367,647487.69882905995473,647487.69882905995473,79844.163485484401463,79844.163485484401463,94761.325682065187721,94761.325682065187721,291526.37919798772782,291526.37919798772782
gen=1_member=123_pso,67417.123209826429957,67417.123209826429957,67417.123209826429957,67417.123209826429957,27847.499554983471171,27847.499554983471171,50011.797104822697293,50011.797104822697293,67417.123209826429957,67417.123209826429957,67417.123209826429957,67417.123209826429957,27847.499554983471171,27847.499554983471171,50011.797104822697293,50011.797104822697293,305840.25076113030082,305840.25076113030082,453553.38672726985533,453553.38672726985533,155166.47524801135296,155166.47524801135296,50011.797104822697293,50011.797104822697293
