real_name,par1,par2
0,1.2182959490940528102,1.4599381218823990203
1,1.227332988593826002,1.4581231948909292306
2,1.2446564286257000287,1.5298629628883018139
3,1.1995572437631867313,1.5155244114446950743
4,1.1690179159812255083,1.3623682124055944698
5,1.2095129198180405439,1.5051110999641943433
6,1.1482791754865082634,1.3519315306132502208
7,1.2213853053600272069,1.5307602704326619403
8,1.1989218177646971952,1.3924301946320560841
9,1.1719541698451185763,1.3819055859981699275
10,1.1579656350394886832,1.1382113853630129174
11,1.1131113480966541296,1.238000979280084124
12,1.2237581684554053041,1.4593718523879253279
13,1.1719459759021260137,1.4268065569425252281
14,1.1357354669823234161,1.2040397224965895262
15,1.1638225279212581764,1.2859436901276382059
16,1.2564570969029544845,1.6500955676797948168
17,1.254175252746638991,1.6411414521679867917
18,1.1387782144960476582,1.1445192073585088721
19,1.2340986363862949116,1.5229205103854703829
base,1.179981148360749188,1.3824780896863346769
